round_num,merge_method,num_clients,num_trees,max_depth,criterion,global_accuracy,global_recall,global_roc_auc,global_precision,global_f1_macro
49,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
50,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
51,diversity,10,30,,gini,0.773799821477083,0.38318126474194003,0.8639421344711536,0.47567092780576015,0.3721882208471514
52,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
53,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
54,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
55,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
56,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
57,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
58,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
59,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
60,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
61,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
62,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
63,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
64,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
65,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
66,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
67,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
68,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
69,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
70,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
71,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
72,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
73,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
74,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
75,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
76,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
77,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
78,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
79,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
80,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
81,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
82,diversity,10,30,,gini,0.7745566034074591,0.3839214397847426,0.8635810486295246,0.5033283500558985,0.37357829183399854
